[2019-08-24 11:34:51,134 | INFO] Receiver thread now running
[2019-08-24 11:37:06,499 | INFO] 08
[2019-08-24 11:37:06,517 | INFO] ae
[2019-08-24 11:37:07,225 | INFO] 77
[2019-08-24 11:37:07,238 | INFO] d1
[2019-08-24 11:37:07,953 | INFO] 08
[2019-08-24 11:37:07,969 | INFO] ae
[2019-08-24 11:37:08,679 | INFO] 77
[2019-08-24 11:37:08,684 | INFO] d1
[2019-08-24 11:37:09,404 | INFO] 08
[2019-08-24 11:37:09,411 | INFO] ae
[2019-08-24 11:37:10,145 | INFO] 77
[2019-08-24 11:37:10,162 | INFO] d1
[2019-08-24 11:37:10,858 | INFO] 08
[2019-08-24 11:37:10,875 | INFO] ae
[2019-08-24 11:37:11,580 | INFO] 77
[2019-08-24 11:37:11,586 | INFO] d1
[2019-08-24 11:37:12,308 | INFO] 08
[2019-08-24 11:37:12,324 | INFO] ae
[2019-08-24 11:37:13,031 | INFO] 77
[2019-08-24 11:37:13,044 | INFO] d1
[2019-08-24 11:37:13,757 | INFO] 08
[2019-08-24 11:37:13,775 | INFO] ae
[2019-08-24 11:37:14,480 | INFO] 77
[2019-08-24 11:37:14,492 | INFO] d1
[2019-08-24 11:37:15,217 | INFO] 08
[2019-08-24 11:37:15,228 | INFO] ae
[2019-08-24 11:37:15,932 | INFO] 77
[2019-08-24 11:37:15,944 | INFO] d1
[2019-08-24 11:37:16,658 | INFO] 08
[2019-08-24 11:37:16,672 | INFO] ae
[2019-08-24 11:37:17,384 | INFO] 77
[2019-08-24 11:37:17,401 | INFO] d1
[2019-08-24 11:37:18,107 | INFO] 08
[2019-08-24 11:37:18,113 | INFO] ae
[2019-08-24 11:37:18,843 | INFO] 77
[2019-08-24 11:37:18,866 | INFO] d1
[2019-08-24 11:37:19,570 | INFO] 08
[2019-08-24 11:37:19,582 | INFO] ae
[2019-08-24 11:37:20,282 | INFO] 77
[2019-08-24 11:37:20,295 | INFO] d1
[2019-08-24 11:37:21,007 | INFO] 08
[2019-08-24 11:37:21,024 | INFO] ae
[2019-08-24 11:37:21,737 | INFO] 77
[2019-08-24 11:37:21,743 | INFO] d1
[2019-08-24 11:37:22,467 | INFO] 08
[2019-08-24 11:37:22,484 | INFO] ae
[2019-08-24 11:37:23,184 | INFO] 77
[2019-08-24 11:37:23,196 | INFO] d1
[2019-08-24 11:37:23,911 | INFO] 08
[2019-08-24 11:37:23,916 | INFO] ae
[2019-08-24 11:37:24,637 | INFO] 77
[2019-08-24 11:37:24,664 | INFO] d1
[2019-08-24 11:37:25,365 | INFO] 08
[2019-08-24 11:37:25,377 | INFO] ae
[2019-08-24 11:37:26,090 | INFO] 77
[2019-08-24 11:37:26,102 | INFO] d1
[2019-08-24 11:37:26,814 | INFO] 08
[2019-08-24 11:37:26,826 | INFO] ae
[2019-08-24 11:37:27,553 | INFO] 77
[2019-08-24 11:37:27,571 | INFO] d1
[2019-08-24 11:37:28,262 | INFO] 08
[2019-08-24 11:37:28,274 | INFO] ae
[2019-08-24 11:37:28,990 | INFO] 77
[2019-08-24 11:37:29,002 | INFO] d1
[2019-08-24 11:37:29,716 | INFO] 08
[2019-08-24 11:37:29,735 | INFO] ae
[2019-08-24 11:37:30,440 | INFO] 77
[2019-08-24 11:37:30,452 | INFO] d1
[2019-08-24 11:37:31,166 | INFO] 08
[2019-08-24 11:37:31,178 | INFO] ae
[2019-08-24 11:37:31,891 | INFO] 77
[2019-08-24 11:37:31,902 | INFO] d1
[2019-08-24 11:37:32,618 | INFO] 08
[2019-08-24 11:37:32,635 | INFO] ae
[2019-08-24 11:37:33,341 | INFO] 77
[2019-08-24 11:37:33,354 | INFO] d1
[2019-08-24 11:37:34,070 | INFO] 08
[2019-08-24 11:37:34,087 | INFO] ae
